類別,學校代碼,學校名稱,核定經費(單位：元)
一般大學,1,國立政治大學,"321,647,507"
一般大學,2,國立清華大學,"1,212,025,181"
一般大學,3,國立臺灣大學,"2,326,731,025"
一般大學,4,國立臺灣師範大學,"227,345,240"
一般大學,5,國立成功大學,"1,412,842,075"
一般大學,6,國立中興大學,"435,822,005"
一般大學,7,國立交通大學,"1,045,006,199"
一般大學,8,國立中央大學,"414,635,736"
一般大學,9,國立中山大學,"319,543,756"
一般大學,12,國立臺灣海洋大學,"143,939,449"
一般大學,13,國立中正大學,"155,211,279"
一般大學,14,國立高雄師範大學,"45,119,575"
一般大學,15,國立彰化師範大學,"76,155,069"
一般大學,16,國立陽明大學,"344,071,676"
一般大學,17,國立臺北大學,"87,781,164"
一般大學,18,國立嘉義大學,"60,938,527"
一般大學,19,國立高雄大學,"54,500,373"
一般大學,20,國立東華大學,"69,305,637"
一般大學,21,國立暨南國際大學,"78,590,370"
一般大學,28,國立臺北藝術大學,"54,492,671"
一般大學,29,國立臺灣藝術大學,"59,556,713"
一般大學,30,國立臺東大學,"63,314,028"
一般大學,31,國立宜蘭大學,"66,042,501"
一般大學,32,國立聯合大學,"46,522,744"
一般大學,35,國立臺南藝術大學,"20,345,703"
一般大學,36,國立臺南大學,"50,692,770"
一般大學,37,國立臺北教育大學,"51,861,957"
一般大學,39,國立臺中教育大學,"54,278,971"
一般大學,44,國立體育大學,"47,495,537"
一般大學,48,國立金門大學,"32,404,852"
一般大學,49,國立臺灣體育運動大學,"33,194,861"
一般大學,52,國立屏東大學,"65,557,221"
一般大學,1001,東海大學,"115,581,793"
一般大學,1002,輔仁大學,"95,856,020"
一般大學,1003,東吳大學,"93,148,172"
一般大學,1004,中原大學,"143,961,800"
一般大學,1005,淡江大學,"93,259,358"
一般大學,1006,中國文化大學,"68,047,779"
一般大學,1007,逢甲大學,"144,797,731"
一般大學,1008,靜宜大學,"91,908,350"
一般大學,1009,長庚大學,"161,222,673"
一般大學,1010,元智大學,"105,899,941"
一般大學,1011,中華大學,"48,553,759"
一般大學,1012,大葉大學,"56,198,321"
一般大學,1013,華梵大學,"28,959,369"
一般大學,1014,義守大學,"95,393,896"
一般大學,1015,世新大學,"62,657,211"
一般大學,1016,銘傳大學,"73,602,918"
